Symbol	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum	pathway	CFTR_interactor	dorothea_tf	receptor_ligand	receptor	Node_type
LSP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
LTA	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
LY96	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
MALT1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
MAP2K1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	6	NA	NA	FALSE	FALSE	FALSE	Protein
MAP2K3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
MAP2K6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
MAP2K7	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	4	NA	NA	FALSE	FALSE	FALSE	Protein
MAP3K14	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	5	NA	NA	FALSE	FALSE	FALSE	Protein
MAP3K5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	Protein
MAP3K7	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	7	NA	NA	FALSE	FALSE	FALSE	Protein
MAP3K8	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
MAPK1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	10	NA	NA	FALSE	FALSE	FALSE	Protein
MAPK14	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	9	NA	NA	FALSE	FALSE	FALSE	Protein
MAPK8	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	8	NA	NA	FALSE	FALSE	FALSE	Protein
MAPKAPK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
MAVS	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
MDM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
MEFV	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
MFN1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
MLKL	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	Protein
MPL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
MYD88	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
MYH9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
MYL12B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
MYLK4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
NAIP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NAMPT	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NCK1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NEK7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NFATC1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	NA	NA	TRUE	FALSE	FALSE	End point - TF
NFKB1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	10	NA	NA	TRUE	FALSE	FALSE	End point - TF
NFKB2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	NA	TRUE	FALSE	FALSE	End point - TF
NFKBIA	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	10	NA	NA	FALSE	FALSE	FALSE	Protein
NLRC4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NLRP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NLRP12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NLRP3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
NLRP6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NLRP7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NLRX1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
NOD1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NOD2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
NOS3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
OPRM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
OTUD5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PAK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PAK3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
PAN3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PDCD1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PDPK1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PFN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
PGAM5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PIK3CA	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	7	NA	NA	FALSE	FALSE	FALSE	Protein
PIKFYVE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
PIN1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	TRUE	FALSE	FALSE	Protein
PKN1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PLCB1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	NA	FALSE	FALSE	FALSE	FALSE	Protein
PLCB3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	NA	FALSE	FALSE	FALSE	FALSE	Protein
PLCG1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
PLCG2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
PLEKHG5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
PLK3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
POMC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PPP1R12A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
PPP3CA	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	NA	NA	FALSE	FALSE	FALSE	Protein
PRKACA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	TRUE	FALSE	FALSE	FALSE	Protein
PRKCB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PRKCD	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
PRKCE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	Protein
PRKCQ	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
PRL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	TRUE	FALSE	Receptor Ligand
PRLR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
PSTPIP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PTPN6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
PTPRC	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
PXN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
PYCARD	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
PYDC1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PYDC2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
PYDC5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
RAC1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
RAF1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
RASGRP1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
RBCK1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
RELA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	TRUE	FALSE	FALSE	End point - TF
RELB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	TRUE	FALSE	FALSE	End point - TF
RHOA	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
RIGI	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
RIPK1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	4	NA	NA	FALSE	FALSE	FALSE	Protein
RIPK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
RIPK3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
RNASEL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
RNF125	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ROCK1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
RPS6KA4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	Protein
RRAS2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
RUNX1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE	Protein
SHC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
SIKE1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
SLC9A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
SLC9A3R1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	Protein
SLC9A3R2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	Protein
SLK	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
SMAD2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	FALSE	FALSE	Protein
SOCS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
SOS1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
SPATA13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
SPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	TRUE	FALSE	Receptor Ligand
SRC	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	NA	FALSE	FALSE	FALSE	FALSE	Protein
SSH1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
STAT1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	5	NA	NA	TRUE	FALSE	FALSE	End point - TF
STAT3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE	Protein
STAT5A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE	Protein
STAT6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE	Protein
STING1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
SUGT1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
SYK	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	TRUE	FALSE	FALSE	FALSE	Protein
TAB1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
TAB2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TANK	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
TBK1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	4	NA	NA	FALSE	FALSE	FALSE	Protein
TBX21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE	Protein
TGFB1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
TGFBR1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	NA	NA	FALSE	FALSE	TRUE	Receptor
THPO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	TRUE	FALSE	Receptor Ligand
TIAM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
TICAM1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
TICAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TKFC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
TLR2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
TLR3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
TLR4	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	TRUE	Receptor
TLR5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
TLR6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
TLR7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
TLR9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
TNF	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	10	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
TNFAIP3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TNFRSF11A	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	TRUE	Receptor
TNFRSF1A	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	5	NA	NA	FALSE	FALSE	TRUE	Receptor
TNFRSF1B	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	NA	NA	FALSE	FALSE	TRUE	Receptor
TNFSF11	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	NA	FALSE	TRUE	FALSE	Receptor Ligand
TNFSF15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	TRUE	FALSE	Receptor Ligand
TP53BP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TPO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	FALSE	FALSE	Protein
TRADD	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	NA	TRUE	FALSE	FALSE	FALSE	Protein
TRAF2	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	5	NA	NA	FALSE	FALSE	TRUE	Receptor
TRAF3	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	4	NA	NA	FALSE	FALSE	TRUE	Receptor
TRAF3IP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TRAF4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	TRUE	Receptor
TRAF6	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	5	NA	NA	FALSE	FALSE	TRUE	Receptor
TRIM25	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
TRIP6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TXN2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TXNIP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TYK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
TYROBP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE	Protein
USP21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	FALSE	Protein
USP25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	FALSE	Protein
VAV1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
VCL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
WASF2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
WASL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
XIAP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ZAP70	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
ZBP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytosolic DNA-sensing pathway	NA	FALSE	FALSE	FALSE	Protein
